vnum,zone,name,description,exits_north,exits_south,exits_east,exits_west,exits_northeast,exits_northwest,exits_southeast,exits_southwest,exits_up,exits_down,ambient_1,ambient_2,ambient_3,ambient_4
5041,2,The Abyss  -  Edge,The void gets darker here. Stars are fewer. Something vast moves in the darkness below.,5037,,5042,,5038,,5044,,,,"The void deepens, swallowing faint stars to the south.",Shards drift silently like ghosts from the north.,"A massive chain disappears into the abyss, tethering the unknown.",The faint tremor of something vast moves beneath.
5042,2,The Abyss  -  Descent,Falling  -  or is it flying? Direction loses meaning. The darkness is absolute.,5038,5044,5043,5041,5039,5037,5045,,,,Direction loses meaning in the endless blackness around.,Chains rattle softly somewhere above the darkness.,Fragments of shattered shards glow faintly nearby.,Whispers echo from distant shards to the northeast.
5043,2,The Abyss  -  Floor,"There is a bottom. It's soft, organic, warm. It breathes. You're standing on something alive.",5039,5045,,5042,5040,5038,,5044,,,The soft ground pulses gently beneath like a living heart.,"Voices hum faintly, echoing from the void nearby.",Time itself seems to ripple and fold in the distance.,Heat from molten rock touches the air faintly to the northwest.
5044,2,The Dreaming Shard,A shard where reality is shaped by thought. The landscape shifts with your emotions.,5042,5046,5045,,5043,5041,,,,,"The landscape shifts subtly, mirroring distant thoughts.",Darkness deepens to the north and west like an endless breath.,Warmth from the living floor rises softly nearby.,Cracks in reality shimmer faintly from the south.
5045,2,The Forgotten Shard,A shard that everyone forgets the moment they leave. Notes are pinned everywhere: 'REMEMBER THIS PLACE.',5043,,,5044,,5042,,5046,,,"Notes flutter softly, their messages lost to memory.","A warm, breathing surface lies just to the north.",Thoughts and emotions warp the shifting terrain to the east.,Darkness swallows stars faintly from the northwest.
5046,2,The Origin Point,Where the first shard broke from the original world. Cracks in reality radiate outward from a single point.,5044,,,,5045,,,,,,"Cracks radiate outward, pulsing with primal energy.",The dream-shaped landscape bends and shifts to the south.,Forgotten notes whisper faintly from nearby shards.,
5099,astral_plane,Astral Sanctum,A pocket of concentrated astral energy. The air shimmers with raw power.,,,5020,,,,,,,,A faint hum vibrates through the shimmering air.,Soft spores drift in from the glowing fungi to the east.,"The temperature pulses subtly, as if breathing with energy.",
5100,2,Deep Void  -  Entry,Below the abyss floor. The living thing you stood on has an underside. It's covered in eyes.,,5103,5101,,,,5104,5102,5040,,Countless eyes blink slowly from the living underside.,Bioluminescent tendrils pulse faintly in the darkness eastward.,Dreams and nightmares ripple softly in nearby pockets.,"Time flows oddly above, folding in on itself."
5101,2,Deep Void  -  Tendril Path,Organic tendrils form a path through absolute darkness. They pulse with bioluminescence.,,5104,,5100,,,5105,5103,,,Glowing tendrils weave a path through the endless dark.,Fear pulses thickly from nightmares to the south.,Dreams ripple softly on the southwest breeze.,Time flows backward in distant pockets to the southeast.
5102,2,Void Pocket  -  Memories,A bubble of reality containing someone's memories. You can walk through their life.,,5106,5103,,5100,,5107,,,,Faint echoes drift up from the bubbling proto-universes below.,A distant shimmer radiates from the skull continent to the southeast.,The endless dream-stuff swirls quietly to the east like a waking mist.,Countless eyes blink slowly beneath the surface to the northeast.
5103,2,Void Pocket  -  Dreams,A bubble of pure dream-stuff. Reality is whatever you imagine. Dangerous.,5100,5107,5104,5102,5101,,5108,5106,,,The pulse of bioluminescent tendrils paints the darkness northeast.,Heavy silence presses in from the dead god's vast skull to the south.,Whispers of memories float faintly on the wind from the west.,"Cold, nascent realities bubble softly from the womb below and southwest."
5104,2,Void Pocket  -  Nightmares,A bubble of concentrated fear. Your worst memories given form. Face them or flee.,5101,5108,5105,5103,,5100,5109,5107,,,Bioluminescent tendrils pulse faintly in the dark to the north.,"The mountain-sized hand looms silently to the southeast, motionless and immense.",A distant heartbeat thrums low from the hidden heart far below.,"The skull continent spreads wide beneath, heavy with forgotten power."
5105,2,Void Pocket  -  Time,A bubble where time flows backward. You see the end before the beginning.,,5109,,5104,,5101,,5108,,,The slow pulse of a distant heart beats faintly to the southwest.,Dark tendrils glow softly through the thick void to the northwest.,The mountain hand’s massive fingers curl silently just to the south.,A swirl of fear seeps in from the nightmare realm to the west.
5106,2,The Womb of Worlds,Where new realities gestate. Proto-universes bubble and pop. Some survive.,5102,5110,5107,,5103,,5111,,,,Soft pops and bubbles rise from the proto-universes all around.,"The skull continent looms east, vast and silent beneath the womb.",A faint radiant point glows steadily far to the southeast.,"Dreams swirl quietly nearby, their edges flickering and soft."
5107,2,The Dead God's Corpse  -  Head,You're standing on something that was once divine. Its skull is a continent.,5103,5111,5108,5106,5104,5102,5112,5110,,,"The first photon burns steady, a small star to the south.",Echoes of ancient thoughts whisper faintly from the southeast.,The living tendril path pulses dimly far to the northeast.,"Memories flicker at the edges, shimmering to the northwest and west."
5108,2,The Dead God's Corpse  -  Heart,The heart still beats. Once per century. The next beat is soon.,5104,5112,5109,5107,5105,5103,5113,5111,,,"A slow, deep heartbeat reverberates through the vast stillness.",Shadows of nightmares coil quietly from the north.,"The mountain hand rests heavy to the east, still and waiting.",A distant glowing seed pulses faintly to the southeast.
5109,2,The Dead God's Corpse  -  Hand,"A hand the size of a mountain, fingers curled. Something is clutched in the fist.",5105,5113,,5108,,5104,,5112,,,The curled fingers cradle secrets that hum softly in the dark.,Time’s strange reversal churns quietly just to the north.,"Echoes of distant thoughts drift softly southwest, heavy and slow.",Fear clings faintly from the nightmares hanging to the northwest.
5110,2,Primordial Ocean,"An ocean of liquid potential. Before matter, before energy, there was this.",5106,,5111,,5107,,5114,,,,Liquid potential ripples endlessly in all directions.,"The first light glows faintly eastward, steady against the void.","A vast skull rises faintly to the northeast, ancient and immense.","Beyond the horizon, the edge of everything waits silently."
5111,2,The First Light,A single point of light in infinite darkness. The first photon ever created. Still shining.,5107,5114,5112,5110,5108,5106,5115,,,,The first photon burns unwavering in the infinite dark.,"Gentle bubbles rise from the ocean to the west, cold and deep.",Eternal questions echo faintly from the east.,A steady heartbeat pulses softly from the northeast.
5112,2,The Last Thought,The final thought of the dead god. It echoes eternally. It sounds like a question.,5108,5115,5113,5111,5109,5107,,5114,,,A faint question hangs endlessly in the thick still air.,The heartbeat below beats slow and sure to the north.,A glowing seed rests quietly just to the east.,The skull continent looms heavy and silent far to the northwest.
5113,2,The Seed,A seed of pure creation. Plant it anywhere and a new world grows. Handle with care.,5109,,,5112,,5108,,5115,,,"The seed hums with raw potential, waiting to awaken worlds.",A massive hand curls silently just to the north.,The final thought drifts softly on the wind to the west.,Shimmering reflections ripple quietly in the mirror far below.
5114,2,The Edge of Everything,"Beyond this, nothing exists. Not void. Not darkness. Not even the concept of 'beyond.'",5111,,5115,,5112,5110,,,,,The faint glow of the First Light pulses steadily to the north.,Ripples shift endlessly across the Primordial Ocean to the northwest.,"Shapes flicker in the Mirror of Worlds to the east, watching silently.","A distant echo of a question drifts from the northeast, haunting and soft."
5115,2,The Mirror of Worlds,A surface that shows other realities. Some are similar. Some are horrifying. One is watching back.,5112,,,5114,5113,5111,,,,,"Visions shimmer across the mirror's surface, glimpses of impossible realms.","The Last Thought murmurs above, a restless echo of finality.","The First Light glows faintly behind, a lone beacon in endless dark.",A small seed of pure creation waits quietly to the northeast.
6001,3,Temporal Nexus  -  Hub,"A chamber where all timelines converge. Clocks of every era line the walls, all showing different times. All correct.",,6005,6002,,,,6006,7,,7,"Clocks tick at odds, filling the air with layered rhythms.",Murmurs of senators reach faintly from the marble south.,Steamy tendrils rise southeast where mosaics gleam beneath tile.,"A portal flickers below, scenes shifting in a silent dance."
6002,3,Temporal Nexus  -  Archives,"Scrolls, tablets, hard drives  -  records from every age stored in temporal stasis.",,6006,,6001,,,6007,6005,,,The scent of warmed stone drifts up from steamy pools south.,"Scrolls whisper secrets in the stillness, dust motes drifting slow.","Far to the southeast, water courses stone with tireless strength.",Marble columns echo distant debates carried on a cool breeze.
6003,3,Roman Colosseum  -  Gate,The roar of the crowd echoes through stone tunnels. Gladiators prepare for combat ahead.,,6008,6004,,,,6009,,,,The roar of crowds vibrates through the stone corridors east.,Spices and distant chants mingle faintly from the bazaar north.,Golden leaf glimmers catch light far beyond the temple east.,The scent of dust and sweat lingers thick beneath vaulted ceilings.
6004,3,Roman Colosseum  -  Arena Floor,Sand stained dark. The crowd demands blood. Lions pace in cages beneath the stands.,,6009,6005,6003,6001,,6010,6008,,,The sand beneath feet is heavy with dark stains and ancient heat.,Low growls ripple from cages where lions pace just west.,Voices of senators drift faintly from marble halls to the east.,A slow breeze carries distant chants from sunlit temple south.
